Code,CamId,Name,Location,Type,Publish,Management Unit,CamStatus,PTZ,Angle,DisplayName,VideoUrl,VideoStreaming,StartTime,EndTime
TTH 312,662a89211afb9c00172d2636,TTH 312,"[10.705952846726, 106.597981452942]",tth,True,,UP,True,,Quốc Lộ 1 - Dương Đình Cúc,,0,4/29/24 14:03,11/18/25 16:46
ITS 4.1,5deb576d1dc17d7c5515ad05,ITS 4.1,"[10.790705, 106.697491]",tth,True,,UP,True,,Điện Biên Phủ - Đinh Tiên Hoàng,,0,12/10/19 9:15,11/18/25 17:28
TTH 21.66,595dd4f43dcfc400106f28ab,TTH 21.66,"[10.8616403246391, 106.663309335709]",tth,True,,UP,False,270,Quốc lộ 1 - Cầu Bến Cát 1,,0,7/21/18 7:03,11/9/25 15:00
TTH 463.2,68a589c84e89b100173b629d,TTH 463.2,"[10.9801854000247, 106.611521244049]",tth,True,,UP,False,270,Tỉnh Lộ 8 - Sông Lu (2),,0,10/16/25 20:39,11/18/25 17:21
TTH 0001,6792ef4f8c5ed4001b27f2c0,TTH 0001,"[10.6562217600296, 106.5558385849]",tth,True,,UP,False,,Quốc Lộ 1 - Ba Làng,http://125.234.114.126:11984/api/stream.m3u8?src=Qu%E1%BB%91c%20l%E1%BB%99%201%20-%20Ng%C3%A3%20t%C6%B0%20Ba%20L%C3%A0ng%201&mp4,1,1/24/25 9:11,11/18/25 11:30
TTH 396,662b84771afb9c00172dd076,TTH 396,"[10.7790322866967, 106.700012683868]",tth,True,,UP,True,,Nguyễn Du - Công xã Paris,,0,4/29/24 14:03,11/18/25 17:16
TTH 291,6623f0b46f998a001b2527c3,TTH 291,"[10.7704213643614, 106.631401777267]",tth,True,,UP,True,,Hòa Bình - Lũy Bán Bích,,0,4/29/24 14:04,11/18/25 17:15
TTH 309,665861d864f11e00173c73a9,TTH 309,"[10.7554702370632, 106.723374724388]",tth,True,,UP,True,,Huỳnh Tấn Phát - Cầu Tân Thuận 1,,0,8/6/24 13:50,11/18/25 17:21
IDICO-QL1 07,5a607f078576340017d0666f,IDICO-QL1 07,"[10.8344440453534, 106.606779098511]",tth,True,,UP,True,105,QL1-Phan Văn Hớn (H.Hoc Mon),,0,1/5/23 7:11,11/19/25 18:30
BD 3.2,68ede112230ee50017d046a6,BD 3.2,"[10.9967629705727, 106.684069633484]",generic,True,,UP,False,345,Mỹ Phước Tân Vạn - Điện Biên Phủ (2),,0,10/16/25 20:38,11/18/25 17:21
TTH 116.1,5a824ee15058170011f6eab6,TTH 116.1,"[10.8306083386046, 106.67790055275]",tth,True,,UP,False,315,Nguyễn Oanh - Phan Văn Trị (1),,0,2/22/18 7:04,11/18/25 18:31
TTH 281,6623ed396f998a001b2526b8,TTH 281,"[10.820344420197, 106.683468818665]",tth,True,,UP,True,,Nguyễn Thái Sơn - Phạm Ngũ Lão,,0,4/29/24 14:04,11/18/25 17:11
TTH 134,5b632b60fd4edb0019c7dc12,TTH 134,"[10.7557179353779, 106.666420698166]",tth,True,,UP,False,330,Hồng Bàng - Ngô Quyền 1,,0,8/3/18 7:05,11/17/25 13:10
TTH 34.4,587c8d97b807da0011e33d49,TTH 34.4,"[10.8001000770077, 106.669188737869]",tth,True,,UP,False,270,Hoàng Văn Thụ - Nguyễn Văn Trỗi 2,,0,5/20/17 11:14,10/24/25 18:51
TTH 38.9,59414c883dcfc400106f260b,TTH 38.9,"[10.8018653200436, 106.645107865334]",tth,True,,UP,False,60,Cộng Hòa - Bình Giã,,0,7/1/17 7:00,10/27/25 2:20
TTH 33.2,56df82d4c062921100c143e0,TTH 33.2,"[10.8264933293527, 106.760866641998]",tth,True,Management Center of Sai Gon River Tunnel,UP,True,30,Võ Nguyên Giáp - Tây Hòa 2,,0,5/20/17 11:14,11/8/25 1:00
TTH 0004,6792f1008c5ed4001b27f41f,TTH 0004,"[10.9882952554727, 106.452713012695]",tth,True,,UP,False,,Quốc Lộ 22 - Võ Văn Điều,http://125.234.114.126:11984/api/stream.m3u8?src=Qu%E1%BB%91c%20l%E1%BB%99%2022%20-%20T%C3%A2y%20Ninh&mp4,1,1/24/25 9:11,11/10/25 17:20
TTH 21.14,58affc6017139d0010f35cc8,TTH 21.14,"[10.8262720340397, 106.714013814926]",tth,True,,UP,False,120,Phạm Văn Đồng - Quốc Lộ 13 (1),,0,5/20/17 11:14,7/3/25 18:04
TTH 21.8,587463bab807da0011e33cd3,TTH 21.8,"[10.8747792130109, 106.748399734497]",tth,True,,UP,False,,Quốc lộ 1 - Lê Thị Hoa,,0,5/20/17 11:14,10/21/25 15:40
ITS 9.2,5deb576d1dc17d7c5515ad1c,ITS 9.2,"[10.7652936908376, 106.707260012627]",tth,True,,UP,True,,Hoàng Diệu - Nguyễn Tất Thành,,0,12/10/19 9:16,11/18/25 16:41
TTH 6.1,56de42f611f398ec0c481287,TTH 6.1,"[10.7654781410386, 106.700146794319]",tth,True,Management Center of Sai Gon River Tunnel,UP,False,225,Võ Văn Kiệt - Ký Con,http://camera.thongtingiaothong.vn/s/56de42f611f398ec0c481287/index.m3u8,1,5/20/17 11:14,7/22/25 8:55
TTH 373,662b5c981afb9c00172d94c0,TTH 373,"[10.7994361321658, 106.619310379028]",tth,True,,UP,True,,Tân Kỳ Tân Quý - Tân Quý,,0,4/29/24 14:03,11/18/25 17:13
TTH 303,662a861e1afb9c00172d23ad,TTH 303,"[10.6954843759884, 106.718187332153]",tth,True,,UP,True,,Nguyễn Hữu Thọ - Phạm Hữu Lầu,http://125.234.133.4:1984/api/stream.m3u8?src=test3&mp4=flac,1,4/29/24 14:02,11/19/25 6:11
TTH 365,662b5a9c1afb9c00172d9240,TTH 365,"[10.7946620093783, 106.650145053864]",tth,True,,UP,True,,Trường Chinh - Nguyễn Thái Bình,,0,4/29/24 14:03,11/18/25 17:24
TTH 311,662a88a01afb9c00172d25d1,TTH 311,"[10.788032914001, 106.517043113709]",tth,True,,UP,True,,Trần Văn Giàu - Đường Thanh Niên,,0,4/29/24 14:03,11/18/25 17:25
TTH 460.2,68a587fc4e89b100173b6054,TTH 460.2,"[10.9836610796409, 106.577167510986]",tth,True,,UP,False,,Tỉnh Lộ 8 - Tỉnh Lộ 15 (2),,0,10/16/25 20:39,11/18/25 17:14
TTH 332,662b4e201afb9c00172d85f9,TTH 332,"[10.7537258027461, 106.653825044632]",tth,True,,UP,True,,Hồng Bàng - Tạ Uyên,,0,4/29/24 14:02,11/18/25 16:44
TTH 161,5d8cdb4b766c880017188966,TTH 161,"[10.7980555437486, 106.658374071121]",tth,True,,UP,False,,Hoàng Văn Thụ - Út Tịch,,0,12/10/19 9:15,11/14/25 4:41
TTH 33.5,58b57a6c17139d0010f35d65,TTH 33.5,"[10.8790147216882, 106.812987327576]",tth,True,,NOT_IMAGE,False,30,Xa Lộ Hà Nội - Đường D13,,0,5/20/17 11:14,1/6/23 16:48
TTH 240,63b66051bfd3d90017eaa4a3,TTH 240,"[10.8112288386645, 106.695485115051]",tth,True,,UP,True,,Nơ Trang Long - Phan Văn Trị,,0,1/5/23 12:40,7/2/25 23:44
TTH 268.1,62da3e390637a10017d706ff,TTH 268.1,"[10.8444440496827, 106.718230247498]",tth_axis,True,,UP,True,,Quốc Lộ 13 - Đinh Thị Thi 1,,0,12/28/22 11:05,10/23/25 6:10
ITS 7.7,5deb576d1dc17d7c5515ad10,ITS 7.7,"[10.773652, 106.689579]",tth,True,,NOT_IMAGE,True,,Cách Mạng Tháng Tám - Nguyễn Thị Minh Khai,,0,12/10/19 9:14,11/19/25 17:43
TTH 34.1,56f11ac33ac17b11001c504c,TTH 34.1,"[10.7996311002478, 106.668410897255]",tth,True,Management Center of Sai Gon River Tunnel,UP,False,315,Nguyễn Văn Trỗi - Hoàng Văn Thụ 1,,0,5/20/17 11:14,10/23/25 6:10
TTH 420,66b1c4a2779f74001867418c,TTH 420,"[10.7971175831128, 106.664553880692]",tth,True,,UP,True,,Lê Văn Sỹ - Phạm Văn Hai,,0,8/6/24 13:50,11/18/25 17:21
TTH 49.8,631813ebc9eae60017a196b0,TTH 49.8,"[10.7995520591487, 106.731228232384]",tth,True,,UP,False,,Cầu Sài Gòn 8 (Thủ Đức),,0,12/28/22 11:04,7/16/25 13:55
TTH 452,68188cfa6dfb4b0018f9013c,TTH 452,"[10.7958318345615, 106.515905857086]",tth,True,,UP,False,15,Thanh Niên - kênh 1,,0,5/5/25 17:22,11/20/25 10:21
TTH 29.3,587475abb807da0011e33cea,TTH 29.3,"[10.8091738427151, 106.664789915085]",tth,True,,UP,False,90,Trường Sơn - Cửu Long,,0,5/20/17 11:14,10/30/25 19:41
ITS 7.6,5deb576d1dc17d7c5515ad0e,ITS 7.6,"[10.774969, 106.686639]",tth,True,,UP,True,,Cách Mạng Tháng Tám - Nguyễn Đình Chiểu,,0,12/10/19 9:15,11/18/25 17:35
BD 4.1,68ede227230ee50017d0480b,BD 4.1,"[10.9707271314364, 106.713767051697]",generic,True,,UP,False,,Mỹ Phước Tân Vạn - Thủ Khoa Huân (1),,0,10/16/25 20:39,11/19/25 17:34
ITS 7.5,5deb576d1dc17d7c5515ad11,ITS 7.5,"[10.777922, 106.689658]",tth,True,,UP,True,,Nguyễn Đình Chiểu - Trương Định,,0,12/10/19 9:15,11/18/25 16:42
BD 4.2,68ede25b230ee50017d0484d,BD 4.2,"[10.9698845093027, 106.715397834778]",generic,True,,UP,False,315,Mỹ Phước Tân Vạn - Thủ Khoa Huân (2),,0,10/16/25 20:39,11/19/25 17:36
TTH 28.1,587478d8b807da0011e33cf3,TTH 28.1,"[10.7928387592472, 106.653594374657]",tth,True,,UP,False,300,Nút giao Bảy Hiền 1 (Cách Mạng Tháng Tám),,0,5/20/17 11:14,11/9/25 12:40
ITS 1.51,5deb576d1dc17d7c5515acf8,ITS 1.51,"[10.773823, 106.67782]",tth,True,,UP,True,,Ba Tháng Hai - Cao Thắng,,0,12/10/19 9:15,11/18/25 17:10
TTH 48.8,591c6833a6bfb500119400a3,TTH 48.8,"[10.890809558636, 106.613377332687]",tth,True,,UP,False,195,Đặng Thúc Vịnh - Trịnh Thị Miếng,,0,5/20/17 11:14,10/23/25 6:10
TTH 192,63ae7938bfd3d90017e8f226,TTH 192,"[10.7470852656437, 106.595476269722]",tth,True,,UP,True,,Quốc Lộ 1- Công ty Pouyen 3 (Cổng),,0,12/30/22 13:00,7/2/25 23:44
TTH 243.2,63b664edbfd3d90017eaaa24,TTH 243.2,"[10.6846307310993, 106.566883921623]",tth,True,,UP,True,,CT Trung Lương - Võ Trần Chí 2,http://125.234.114.126:11984/api/stream.m3u8?src=TTH%20243.2%20CT%20Trung%20L%C6%B0%C6%A1ng%20-%20V%C3%B5%20Tr%E1%BA%A7n%20Ch%C3%AD%202&mp4,1,1/5/23 13:00,7/21/25 1:04
TTH 24.1,56df83d8c062921100c143e3,TTH 24.1,"[10.8140847327392, 106.678351163864]",tth,True,Management Center of Sai Gon River Tunnel,UP,True,180,Nút giao Nguyễn Thái Sơn 1 (Hồng Hà),,0,5/20/17 11:14,10/21/25 15:20
TTH 262,6623e5776f998a001b252337,TTH 262,"[10.7845127944049, 106.678436994553]",tth,True,,UP,True,,Trần Quang Diệu - Trường Sa,,0,4/29/24 14:03,11/18/25 17:18
IDICO-QL1 22,59ca308302eb490011a0a403,IDICO-QL1 22,"[10.7672014274613, 106.590755581856]",tth,True,,UP,True,195,QL1 - Tân Tạo Chợ Đệm 1,http://camera.thongtingiaothong.vn/s/59ca308302eb490011a0a403/index.m3u8,1,1/3/23 7:12,11/14/25 12:31
ITS 2.7,5deb576d1dc17d7c5515acfd,ITS 2.7,"[10.7793063144528, 106.682181358337]",tth,True,,UP,True,,Lý Chính Thắng - Nguyễn Thông,,0,12/10/19 9:16,11/18/25 17:15
TTH 32.1,56df8159c062921100c143dc,TTH 32.1,"[10.8490751291612, 106.774283051491]",tth,True,Management Center of Sai Gon River Tunnel,UP,True,255,Nút giao Thủ Đức (Lê Văn Việt),http://125.234.114.126:11984/api/stream.m3u8?src=N%C3%BAt%20giao%20Th%E1%BB%A7%20%C4%90%E1%BB%A9c%201&mp4,1,5/20/17 11:14,7/16/25 11:14
TTH 34.7,587ef2e4b807da0011e33d57,TTH 34.7,"[10.7976866831738, 106.672310829163]",tth,True,,UP,False,285,Nguyễn Văn Trỗi - Nguyễn Trọng Tuyển,,0,5/20/17 11:14,7/2/25 23:44
TTH 47.4,589b3f7db3bf7600110283c6,TTH 47.4,"[10.8841088420888, 106.586925387383]",tth,True,,UP,False,150,QL 22 - Nguyễn Văn Bứa 2,,0,5/20/17 11:14,10/28/25 16:01
TTH 450,68188c876dfb4b0018f9007b,TTH 450,"[10.7782523601788, 106.573798656464]",tth,True,,UP,False,345,Võ Văn Văn - đường 1A,,0,5/5/25 17:21,10/23/25 6:10
TTH 265,6623e6706f998a001b25239b,TTH 265,"[10.7612726484012, 106.675046682358]",tth,True,,UP,True,,Hùng Vương - Trần Nhân Tôn,,0,4/29/24 14:04,11/18/25 17:21
TTH 404,662b86551afb9c00172dd227,TTH 404,"[10.7702052976598, 106.697469949722]",tth,True,,UP,True,,Trần Hưng Đạo - Calmette,,0,4/29/24 14:03,11/18/25 17:12
TTH 310,662a88521afb9c00172d2592,TTH 310,"[10.7281852870275, 106.607261896133]",tth,True,,UP,True,,Kinh Dương Vương - Hồ Học Lãm,,0,4/29/24 14:03,11/18/25 18:40
TTH 248,649da77ea6068200171a6dd4,TTH 248,"[10.775301268578, 106.70676112175]",tth,True,,UP,True,,Tôn Đức Thắng - Công trường Mê Linh,,0,6/29/23 23:15,10/23/25 6:10
TTH 207,63b3c59fbfd3d90017e9ace8,TTH 207,"[10.8125250596398, 106.577596664429]",tth,True,,UP,True,,Vĩnh Lộc - Quách Điêu,,0,1/3/23 13:30,11/9/25 10:40
TTH 21.15,58b5510817139d0010f35d4e,TTH 21.15,"[10.8254711543978, 106.71435713768]",tth,True,,UP,False,285,Phạm Văn Đồng - Quốc Lộ 13 (2),,0,5/20/17 11:14,7/17/25 9:45
TTH 104.3,5a824c905058170011f6eab0,TTH 104.3,"[10.7736939654481, 106.62178337574]",tth,True,,UP,False,285,Nút giao Bốn Xã 2 (Hòa Bình),,0,2/22/18 7:04,7/17/25 9:45
ITS 8.4,5deb576d1dc17d7c5515ad16,ITS 8.4,"[10.780518, 106.695957]",tth,True,,UP,True,,Nguyễn Thị Minh Khai - Pasteur,,0,12/10/19 9:16,11/18/25 17:21
TTH 203.2,63ae7c73bfd3d90017e8f3ed,TTH 203.2,"[10.7708113380158, 106.658003926277]",tth,True,,UP,True,,Lý Thường Kiệt - Tô Hiến Thành 2,,0,12/30/22 13:00,11/10/25 14:50
TTH 38.2,586e1d4ef9fab7001111b0a2,TTH 38.2,"[10.8016071209638, 106.651110649109]",tth,True,,UP,False,270,Cộng Hòa - Đường C 18,,0,5/20/17 11:14,7/2/25 23:44
TTH 178.1,63195512c9eae60017a1c279,TTH 178.1,"[10.7663399395947, 106.688103715542]",tth,True,,UP,False,30,Nguyễn Trãi - Cống Quỳnh 1,,0,12/28/22 14:10,11/14/25 15:21
IDICO-QL1 15,59ca2ecb02eb490011a0a3f6,IDICO-QL1 15,"[10.7958581819231, 106.596806645393]",generic,True,,NOT_IMAGE,False,195,QL1 - Trạm thu phí AS-AL 1,http://camera.thongtingiaothong.vn/s/59ca2ecb02eb490011a0a3f6/index.m3u8,1,10/18/17 10:15,1/6/23 16:47
TTH 253,6623df636f998a001b251e92,TTH 253,"[10.7839015119534, 106.69704079628]",tth,True,,UP,True,,Hai Bà Trưng - Trần Cao Vân,,0,4/29/24 14:03,11/18/25 16:46
TTH 166,5d8cdc9d766c880017188970,TTH 166,"[10.7747690150491, 106.647881269455]",tth_axis,True,,UP,False,75,Lạc Long Quân - Âu Cơ,,0,12/10/19 9:15,7/2/25 23:44
TTH 0006,6792f1b78c5ed4001b27f4a9,TTH 0006,"[10.8682888641092, 106.716213226318]",tth,True,,UP,False,,Quốc Lộ 13 - Cầu Vĩnh Bình,http://125.234.114.126:11984/api/stream.m3u8?src=Qu%E1%BB%91c%20l%E1%BB%99%2013%20-%20c%E1%BA%A7u%20V%C4%A9nh%20B%C3%ACnh&mp4,1,1/24/25 9:11,10/23/25 6:10
TTH 1.3,58d8ec0adc195800111e042b,TTH 1.3,"[10.7935237967208, 106.756081581116]",tth,True,,NOT_IMAGE,False,255,Cao tốc LTDG - Cầu Bà Dạt 1,http://125.234.114.126:11984/api/stream.m3u8?src=Cao%20T%E1%BB%91c%20LTDG%20-%20c%E1%BA%A7u%20B%C3%A0%20D%E1%BA%A1t%201&mp4,1,10/18/17 10:14,10/16/25 20:39
TTH 21.61,595dc5ac3dcfc400106f2898,TTH 21.61,"[10.8613452988547, 106.682245731354]",tth,True,,UP,False,,Quốc lộ 1 - BQB Đường dẫn cầu vượt Ngã 4 Ga (hướng đi An Sương),,0,7/21/18 7:03,11/5/25 19:40
BD 2.1,69047bfa10c1b90017c62ccc,BD 2.1,"[11.0027871174418, 106.675293445587]",generic,True,,UP,False,,Mỹ Phước - Tân Vận - Huỳnh Văn Lũy (1),,0,10/31/25 16:10,11/18/25 15:59
TTH 108.2,5a8254f25058170011f6eac5,TTH 108.2,"[10.8102803807443, 106.712415218353]",tth,True,,UP,False,195,Xô Viết Nghệ Tĩnh - Nguyễn Xí 2,,0,2/22/18 7:04,10/23/25 6:10
TTH 203.1,63ae7c53bfd3d90017e8f3d8,TTH 203.1,"[10.7704951431996, 106.658336520195]",tth,True,,UP,True,,Lý Thường Kiệt - Tô Hiến Thành 1,,0,12/30/22 13:00,7/20/25 12:44
ITS 10.1,5deb576d1dc17d7c5515ad20,ITS 10.1,"[10.755881, 106.666241]",tth,True,,UP,True,,Hồng Bàng - Ngô Quyền 2,,0,12/10/19 9:14,11/14/25 16:01
TTH 28.7,5874796db807da0011e33cf7,TTH 28.7,"[10.8199228965258, 106.630790233612]",tth,True,,UP,True,345,Trường Chinh - Tây Thạnh 1,http://camera.thongtingiaothong.vn/s/5874796db807da0011e33cf7/index.m3u8,1,5/20/17 11:14,7/17/25 9:45
ITS 2.1-2,5deb576d1dc17d7c5515acfa,ITS 2.1-2,"[10.777664, 106.681336]",tth,True,,UP,True,,Nút giao Công Trường Dân Chủ,,0,12/10/19 9:15,11/18/25 17:14
TTH 21.12,58746536b807da0011e33cdc,TTH 21.12,"[10.8659497751896, 106.723519563675]",tth,True,,UP,False,180,Cầu vượt Bình Phước 1,,0,5/20/17 11:14,7/17/25 9:45
TTH 105.2,5a8251575058170011f6eabc,TTH 105.2,"[10.8444335124463, 106.781578660011]",tth,True,,NOT_IMAGE,False,285,Lê Văn Việt - Đình Phong Phú 2,,0,2/22/18 7:04,1/6/23 16:47
TTH 338,662b4f7e1afb9c00172d872e,TTH 338,"[10.7480971664479, 106.635103225708]",tth,True,,UP,True,,Hậu Giang - Nguyễn Văn Luông,,0,4/29/24 14:03,11/18/25 16:44
TTH 363,662b59291afb9c00172d912b,TTH 363,"[10.7987511081718, 106.662569046021]",tth,True,,UP,True,,Lê Văn Sỹ - Nguyễn Trọng Tuyển,,0,4/29/24 14:03,11/18/25 17:13
TTH 24.6,5a6060a88576340017d0660d,TTH 24.6,"[10.8261245037402, 106.689493060112]",tth,True,,UP,False,315,Nguyễn Thái Sơn - Phan Văn Trị 1,,0,1/19/18 7:00,7/2/25 23:44
TTH 233.2,63b65f33bfd3d90017eaa405,TTH 233.2,"[10.7887970063747, 106.716953516006]",tth,True,,UP,True,,Nguyễn Hữu Cảnh - Ngô Tất Tố 3 (Nhánh chính cầu Thủ Thiêm 1),,0,1/5/23 12:40,7/2/25 23:44
ITS 9.5,5deb576d1dc17d7c5515ad1e,ITS 9.5,"[10.770674, 106.702639]",tth,True,,UP,True,,Pasteur - Hàm Nghi,,0,12/10/19 9:14,11/18/25 16:58
TTH 21.82,5a6061868576340017d06611,TTH 21.82,"[10.8883494860312, 106.596280932426]",tth,True,,UP,False,,Quang Trung - Bà Triệu,,0,1/19/18 7:00,11/11/25 16:31
TTH 47.1,589b3705b3bf7600110283bd,TTH 47.1,"[10.8551338847726, 106.607385277748]",tth,True,,UP,False,330,QL 22 - Nguyễn Ảnh Thủ 1,,0,5/20/17 11:14,7/2/25 23:44
TTH 187.1,63ae7759bfd3d90017e8f162,TTH 187.1,"[10.7675070857977, 106.706036925316]",tth,True,,UP,True,,Nguyễn Tất Thành - Cầu Khánh Hội,,0,12/30/22 13:00,7/17/25 9:45
TTH 186.1,63ae7709bfd3d90017e8f135,TTH 186.1,"[10.7632541910898, 106.703810691834]",tth,True,,UP,True,,Hoàng Diệu - Đoàn Văn Bơ 1,,0,12/30/22 13:00,11/19/25 12:50
TTH 353,662b55111afb9c00172d8e2e,TTH 353,"[10.8446442571047, 106.640725135803]",tth,True,,UP,True,,Quang Trung - Phạm Văn Chiêu,,0,4/29/24 14:03,11/19/25 17:35
TTH 229,649da419a6068200171a6c90,TTH 229,"[10.759206770879, 106.665605306625]",tth,True,,UP,True,,Nguyễn Chí Thanh - Ngô Quyền,,0,6/29/23 23:15,10/23/25 6:10
TTH 21.40,58afccadbd82540010390c3f,TTH 21.40,"[10.6966335007055, 106.596463322639]",tth,True,,UP,False,270,Quốc lộ 1 - Nguyễn Hữu Trí 1,,0,5/20/17 11:14,10/23/25 6:10
TTH 388,662b82761afb9c00172dcda3,TTH 388,"[10.7923592320866, 106.694144010544]",tth,True,,UP,True,,Trần Quang Khải - Trần Nguyên Đán,,0,4/29/24 14:03,11/18/25 17:20
ITS 1.4-2,5deb576d1dc17d7c5515acf7,ITS 1.4-2,"[10.765059, 106.68172]",tth,True,,UP,True,,Nút giao Ngã sáu Cộng Hòa,,0,12/10/19 9:15,11/14/25 15:51
TTH 169,5d9ddd49766c880017188c94,TTH 169,"[10.8016545453012, 106.71106338501]",tth,True,,UP,True,,Nút giao Hàng Xanh 1 (Viện Máy tính),,0,12/10/19 9:14,11/18/25 8:41
TTH 150,5d8cd767766c880017188950,TTH 150,"[10.8230474266509, 106.702968478203]",tth,True,,UP,False,75,Phạm Văn Đồng - Nguyễn Xí (hướng đi Sân bay),,0,12/10/19 9:16,11/1/25 2:50
TTH 0005,6792f16e8c5ed4001b27f482,TTH 0005,"[10.7858829057319, 106.850624084473]",tth,True,,UP,False,,Cao tốc LT-DG - Trạm thu phí Long Phước,http://125.234.114.126:11984/api/stream.m3u8?src=Cao%20T%E1%BB%91c%20Long%20Th%C3%A0nh%20-%20D%E1%BA%A7u%20Gi%C3%A2y&mp4,1,1/24/25 9:11,10/30/25 23:41
TTH 21.79,595f8d813dcfc400106f28f2,TTH 21.79,"[10.8529158676222, 106.632431745529]",tth,True,1,UP,False,240,Quốc lộ 1 - Quang Trung 2 (hướng đi An Sương),http://camera.thongtingiaothong.vn/s/595f8d813dcfc400106f28f2/index.m3u8,1,11/4/17 7:09,11/5/25 19:40
TTH 459.1,68a5871d4e89b100173b5f37,TTH 459.1,"[10.9733392447841, 106.639308929443]",tth,True,,UP,False,,Tỉnh Lộ 8 - Hà Duy Phiên (1),,0,10/16/25 20:39,11/18/25 17:13
TTH 21.13,5874656eb807da0011e33cde,TTH 21.13,"[10.8647433460363, 106.724211573601]",tth,True,,UP,False,330,Cầu vượt Bình Phước 2,,0,5/20/17 11:14,7/2/25 23:44
TTH 256,6623e3566f998a001b25226d,TTH 256,"[10.786135848679, 106.680936813354]",tth,True,,UP,True,,Lê Văn Sỹ - Trường Sa,,0,4/29/24 14:03,11/18/25 17:13
TTH 249.1,5abbb6d698d8fc001102dfc8,TTH 249.1,"[10.7314425344033, 106.720451116562]",tth,True,,UP,True,,Nguyễn Văn Linh - Nguyễn Lương Bằng (1),181.1.1.154,1,6/29/23 7:16,7/7/25 7:34
TTH 168,5d8cdd26766c880017188974,TTH 168,"[10.7688351149688, 106.652623414993]",tth,True,,NOT_IMAGE,False,315,Nút giao Lê Đại Hành 2 (Lê Đại Hành),,0,12/10/19 9:14,10/18/25 11:11
TTH 16.1,56de42f611f398ec0c481296,TTH 16.1,"[10.7442498171975, 106.650842428207]",tth,True,Management Center of Sai Gon River Tunnel,UP,False,75,Võ Văn Kiệt - Cao Văn Lầu,,0,5/20/17 11:14,11/17/25 17:40
ITS 3.5,5deb576d1dc17d7c5515ad03,ITS 3.5,"[10.7814721788992, 106.692835092545]",tth,True,,UP,True,,Nam Kỳ Khởi Nghĩa - Nguyễn Đình Chiểu,,0,12/10/19 9:14,11/18/25 16:22
TTH 187.2,63ae777cbfd3d90017e8f177,TTH 187.2,"[10.7667745592657, 106.706455349922]",tth,True,,UP,True,,Nguyễn Tất Thành - Đoàn Như Hài,,0,12/30/22 13:00,11/18/25 6:31
TTH 177,631828cac9eae60017a19f50,TTH 177,"[10.7887074232314, 106.703531742096]",tth,True,,UP,False,45,Nguyễn Thị Minh Khai - Nguyễn Bỉnh Khiêm 1,,0,12/28/22 11:03,7/2/25 23:44
TTH 49.1,63b3c2fbbfd3d90017e9abbf,TTH 49.1,"[10.7980089972696, 106.724379211664]",tth,True,,UP,False,240,Cầu Sài Gòn 1 (dạ cầu Bình Thạnh),,0,1/3/23 13:30,7/17/25 9:44
TTH 28.9,58d7c2e6c1e33c00112b321e,TTH 28.9,"[10.8269833398213, 106.625425815582]",tth,True,,UP,True,315,Trường Chinh - Phan Văn Hớn 1 (Q12-HM),,0,5/20/17 11:14,10/18/25 15:51
TTH 220.1,63b54ad1bfd3d90017ea7974,TTH 220.1,"[10.8045368770814, 106.792543530464]",tth,True,,UP,True,,Võ Chí Công - Liên Phường 1,,0,1/4/23 17:10,7/10/25 15:24
TTH 368,662b5b481afb9c00172d92a8,TTH 368,"[10.7990461956223, 106.641937494278]",tth,True,,UP,True,,Trường Chinh - Trương Công Định,,0,4/29/24 14:03,11/18/25 17:21
TTH 428,681885376dfb4b0018f8f0f2,TTH 428,"[10.7693146796196, 106.526484489441]",tth,True,,UP,False,,Lê Đình Chi - Kênh 3,,0,5/5/25 17:21,10/23/25 6:10
TTH 22.1,56de42f611f398ec0c48129e,TTH 22.1,"[10.7785053, 106.7572618]",tth,True,Khu quản lý giao thông đô thị số 2,UP,False,135,Đồng Văn Cống - Phan Văn Đáng,,0,5/20/17 11:14,11/9/25 12:00
TTH 170,5d9dddb9766c880017188c96,TTH 170,"[10.7998787622235, 106.706600189209]",tth,True,,UP,True,45,Nút giao Hàng Xanh 2 (ĐH Hồng Bàng),,0,12/10/19 9:15,10/23/25 6:10
TTH 142,5d8cd372766c880017188940,TTH 142,"[10.7550275416962, 106.643267869949]",tth_axis,True,,NOT_IMAGE,False,195,Nút giao Cây Gõ 2 (Minh Phụng),,0,12/10/19 9:16,10/16/25 20:39
TTH 119.2,5ad06a0d98d8fc001102e27b,TTH 119.2,"[10.8135578170586, 106.579318642616]",tth,True,,UP,False,255,Vĩnh Lộc - Nguyễn Thị Tú 2,,0,4/19/18 7:29,10/27/25 3:20
IDICO-QL1 21,5a60839c8576340017d0667c,IDICO-QL1 21,"[10.769962881176, 106.591436862946]",tth,True,,UP,True,195,QL1 - Hương Lộ 2 (2),,0,7/18/20 7:21,11/14/25 13:01
TTH 448,68188c236dfb4b0018f8ff8f,TTH 448,"[10.7982347044359, 106.560130119324]",tth,True,,UP,False,,Vĩnh Lộc - Lại Hùng Cường,,0,5/5/25 17:21,11/20/25 7:40
TTH 234,63b65f64bfd3d90017eaa41f,TTH 234,"[10.8068184838962, 106.711615920067]",tth,True,,UP,True,,Xô Viết Nghệ Tĩnh - Đường D5,,0,1/5/23 12:40,7/2/25 23:44
TTH 21.7,58746371b807da0011e33cd1,TTH 21.7,"[10.8696796650458, 106.775951385498]",tth,True,,UP,False,285,Quốc lộ 1 - Đường 14,,0,5/20/17 11:14,7/2/25 23:44
